ID,Iteration,X,Y,Z
T2,1,1000,25,12.32
T2,2,1000,50,12.345
T2,3,1000,75,12.315
T2,4,1000,100,12.345
T2,5,1000,125,12.34
T2,6,1000,150,12.33
T2,7,1000,175,12.315
T2,8,1000,200,12.32
T2,9,1000,225,12.315
T2,10,1000,250,12.32
T2,11,1000,275,12.33
T2,12,1000,300,12.35
T2,13,1000,325,12.636
T2,14,1000,350,12.696
T2,15,1000,375,12.691
T2,16,1000,400,12.705
T2,17,1000,425,12.696
T2,18,1000,450,12.686
T2,19,1000,475,12.681
T2,20,1000,500,12.666
T2,21,1000,525,12.676
T2,22,1000,550,12.671
T2,23,1000,575,12.676
T2,24,1000,600,12.676
T2,25,1000,625,12.676
T2,26,1000,650,12.686
T2,27,1000,675,12.671
T2,28,1000,700,12.666
T2,29,1000,725,12.671
T2,30,1000,750,12.681
T2,31,1000,775,12.676
T2,32,1000,800,12.681
T2,33,1000,825,12.651
T2,34,1000,850,12.651
T2,35,1000,875,12.696
T2,36,1000,900,12.681
T2,37,1000,925,12.686
T2,38,1000,950,12.661
T2,39,1000,975,12.671
T2,40,1000,1000,12.661
T2,41,1000,1025,12.681
T2,42,1000,1050,12.656
T2,43,1000,1075,12.656
T2,44,1000,1100,12.691
T2,45,1000,1125,12.681
T2,46,1000,1150,12.651
T2,47,1000,1175,12.666
T2,48,1000,1200,12.676
T2,49,1000,1225,12.666
T2,50,1000,1250,12.656
T2,51,1000,1275,12.641
T2,52,1000,1300,12.627
T2,53,1000,1325,12.627
T2,54,1000,1350,12.681
T2,55,1000,1375,12.651
T2,56,1000,1400,12.656
T2,57,1000,1425,12.671
T2,58,1000,1450,12.666
T2,59,1000,1475,12.656
T2,60,1000,1500,12.651
T2,61,1500,25,12.572
T2,62,1500,50,12.587
T2,63,1500,75,12.533
T2,64,1500,100,12.587
T2,65,1500,125,12.577
T2,66,1500,150,12.572
T2,67,1500,175,12.557
T2,68,1500,200,12.552
T2,69,1500,225,12.552
